CMDLINE /global/homes/t/tommylin/.conda/envs/myenv/bin/python main.py
MEM 2551.445312 1707870145.1817
MEM 2560.984375 1707870145.2819
MEM 2584.703125 1707870145.3821
MEM 2584.703125 1707870145.4823
MEM 2627.757812 1707870145.5827
MEM 2595.453125 1707870145.6830
MEM 2670.992188 1707870145.7833
MEM 2670.992188 1707870145.8837
MEM 2692.390625 1707870145.9855
MEM 2703.218750 1707870146.0860
MEM 2703.218750 1707870146.1863
MEM 2714.046875 1707870146.2867
MEM 2724.875000 1707870146.3870
MEM 2724.875000 1707870146.4874
MEM 2735.703125 1707870146.5877
MEM 2746.531250 1707870146.6881
MEM 2671.171875 1707870146.7884
MEM 2775.839844 1707870146.8887
MEM 2819.667969 1707870146.9891
MEM 2880.511719 1707870147.0894
MEM 2977.707031 1707870147.1897
MEM 3011.480469 1707870147.2901
MEM 3090.113281 1707870147.3904
MEM 3166.167969 1707870147.4907
MEM 3195.042969 1707870147.5911
MEM 3195.042969 1707870147.6917
MEM 3195.042969 1707870147.7919
MEM 3195.042969 1707870147.8921
MEM 3195.042969 1707870147.9923
MEM 3195.042969 1707870148.0926
MEM 3195.042969 1707870148.1929
MEM 3195.042969 1707870148.2931
MEM 3195.042969 1707870148.3933
MEM 3195.042969 1707870148.4935
MEM 3195.042969 1707870148.5939
MEM 3195.042969 1707870148.6942
MEM 3195.042969 1707870148.7946
MEM 3216.441406 1707870148.8950
MEM 3227.269531 1707870148.9958
MEM 3227.269531 1707870149.0962
MEM 3238.097656 1707870149.1965
MEM 3248.667969 1707870149.2969
MEM 3248.667969 1707870149.3972
MEM 3259.496094 1707870149.4976
MEM 3195.117188 1707870149.5980
MEM 3195.117188 1707870149.6983
MEM 3299.785156 1707870149.7987
MEM 3352.121094 1707870149.8990
MEM 3404.457031 1707870149.9993
MEM 3508.871094 1707870150.0997
MEM 3535.425781 1707870150.2000
MEM 3614.058594 1707870150.3003
MEM 3692.691406 1707870150.4007
MEM 3657.730469 1707870150.5010
MEM 3870.167969 1707870150.6013
MEM 4083.378906 1707870150.7015
MEM 4295.816406 1707870150.8017
MEM 4508.511719 1707870150.9019
MEM 4720.175781 1707870151.0021
MEM 4887.679688 1707870151.1024
MEM 5023.546875 1707870151.2027
MEM 5159.542969 1707870151.3030
MEM 5294.250000 1707870151.4033
MEM 5428.312500 1707870151.5037
MEM 5539.300781 1707870151.6040
MEM 5661.375000 1707870151.7043
MEM 5790.796875 1707870151.8046
MEM 5924.988281 1707870151.9048
MEM 6060.082031 1707870152.0053
MEM 4854.519531 1707870152.1056
MEM 5009.539062 1707870152.2059
MEM 5200.195312 1707870152.3062
MEM 5382.347656 1707870152.4064
MEM 5564.679688 1707870152.5066
MEM 5746.453125 1707870152.6068
MEM 5928.226562 1707870152.7070
MEM 6110.007812 1707870152.8072
MEM 6292.710938 1707870152.9074
MEM 6471.894531 1707870153.0076
MEM 6654.417969 1707870153.1078
MEM 6836.921875 1707870153.2080
MEM 7018.886719 1707870153.3082
MEM 7201.953125 1707870153.4084
MEM 7386.687500 1707870153.5090
MEM 7523.390625 1707870153.6093
MEM 7656.292969 1707870153.7096
MEM 7789.066406 1707870153.8099
MEM 7922.226562 1707870153.9102
MEM 8055.902344 1707870154.0106
MEM 8188.289062 1707870154.1109
MEM 8323.640625 1707870154.2112
MEM 8458.863281 1707870154.3115
MEM 8593.957031 1707870154.4117
MEM 8729.695312 1707870154.5119
MEM 8865.175781 1707870154.6120
MEM 9000.140625 1707870154.7122
MEM 9135.234375 1707870154.8124
MEM 9270.457031 1707870154.9126
MEM 9405.808594 1707870155.0128
MEM 9542.578125 1707870155.1130
MEM 9676.382812 1707870155.2131
MEM 9811.734375 1707870155.3133
MEM 9947.085938 1707870155.4135
MEM 8706.519531 1707870155.5139
MEM 7005.457031 1707870155.6142
MEM 5416.570312 1707870155.7145
MEM 4687.957031 1707870155.8148
MEM 4688.433594 1707870155.9150
MEM 4688.433594 1707870156.0152
MEM 4688.433594 1707870156.1154
MEM 4688.433594 1707870156.2156
MEM 4688.433594 1707870156.3158
MEM 4688.433594 1707870156.4160
MEM 4688.433594 1707870156.5162
MEM 4688.433594 1707870156.6164
MEM 4688.433594 1707870156.7167
MEM 4688.433594 1707870156.8174
MEM 4688.433594 1707870156.9177
MEM 4688.433594 1707870157.0179
MEM 4688.433594 1707870157.1180
MEM 4688.433594 1707870157.2182
MEM 4688.433594 1707870157.3184
MEM 4688.433594 1707870157.4186
MEM 4688.433594 1707870157.5189
MEM 4688.433594 1707870157.6191
MEM 4688.433594 1707870157.7193
MEM 4688.433594 1707870157.8196
MEM 4688.433594 1707870157.9198
MEM 4688.433594 1707870158.0201
MEM 4688.433594 1707870158.1203
MEM 4688.433594 1707870158.2211
MEM 4688.433594 1707870158.3213
MEM 4688.433594 1707870158.4215
MEM 4688.433594 1707870158.5217
MEM 4688.433594 1707870158.6219
MEM 4688.433594 1707870158.7221
MEM 4688.433594 1707870158.8223
MEM 4688.433594 1707870158.9225
MEM 4688.433594 1707870159.0227
MEM 4688.433594 1707870159.1230
MEM 4688.433594 1707870159.2232
MEM 4688.433594 1707870159.3234
MEM 4688.433594 1707870159.4236
MEM 4688.433594 1707870159.5239
MEM 4688.433594 1707870159.6241
MEM 4688.433594 1707870159.7243
MEM 4688.433594 1707870159.8246
MEM 4688.433594 1707870159.9248
MEM 4688.433594 1707870160.0253
MEM 4688.433594 1707870160.1255
MEM 4688.433594 1707870160.2257
MEM 4688.433594 1707870160.3260
MEM 4688.433594 1707870160.4262
MEM 4688.433594 1707870160.5264
MEM 4688.433594 1707870160.6266
MEM 4688.433594 1707870160.7268
MEM 4688.433594 1707870160.8271
